,lfc,blocks,p,margin,lfc_B1,lfc_B2,lfc_B3,lfc_B4
Orai2,0.102026224,3,0.4857142857142857,-0.31352997,0.3293724,-0.25691128,0.042772293,0.29287148
Parm1,0.2817378,3,0.17142857142857143,-0.20681667,0.3794403,-0.010942459,0.29499626,0.4634571
Pcsk5,-0.047577858,2,0.6571428571428571,-0.1673212,0.10715866,-0.02614975,-0.3394451,0.06812477
Pde7b,0.49775147,4,0.11428571428571428,-0.34305954,0.286479,0.42727375,0.2756672,1.001586
Pdgfra,0.9027128,4,0.05714285714285714,-0.16583538,0.65104103,1.0240288,0.50817394,1.4276075
Pdyn,0.41067815,3,0.6857142857142857,-2.309945,1.9686594,0.83395576,0.38288116,-1.5427837
Pdzd2,-0.19868517,3,0.34285714285714286,-0.45729637,-0.27787304,-0.20181274,-0.61508656,0.30003166
Penk,-0.17330527,2,0.6285714285714286,-0.5850458,-1.3575239,0.3777771,0.3887291,-0.10220337
Pip5k1b,0.5245297,4,0.02857142857142857,0.1671133,0.4789524,0.93183994,0.19315529,0.49417114
Pkib,0.713578,4,0.08571428571428572,-0.32194805,1.1298218,0.6971264,0.41230965,0.61505413
Plch1,-0.059557438,3,0.7714285714285715,-0.5228586,-0.39092827,-0.30160236,-0.16728878,0.62158966
Plcxd2,-0.5933509,4,0.02857142857142857,0.11631966,-0.89254,-0.73227024,-0.12865543,-0.6199379
Plcxd3,0.01969409,2,0.7142857142857143,-0.08182049,-0.07928181,-0.07521343,0.21200657,0.02126503
Prdm8,-0.38909578,4,0.14285714285714285,-0.18527508,-0.73886585,-0.4148388,-0.17114735,-0.23153114
Prox1,0.35465074,3,0.4,-0.86753273,0.43732357,0.3574772,-0.24974442,0.8735466
Prr16,-0.42049718,3,0.17142857142857143,-0.34714794,-0.43532944,-0.87820435,0.10683155,-0.47528648
Rab3b,0.05685711,3,0.42857142857142855,-0.17661667,0.041470528,0.19667149,-0.086390495,0.07567692
Rasgrf2,0.32255816,4,0.02857142857142857,0.059221268,0.42341232,0.6447935,0.088274,0.13375282
Rbp4,0.28717566,4,0.14285714285714285,-0.24228,0.17729473,0.16034794,0.6789465,0.13211346
Rfx4,0.42749643,3,0.2,-0.3211069,-0.27261353,0.4686432,0.8606014,0.65335464
Rims3,0.022236586,3,0.6,-0.10640526,0.0006046295,0.12233448,0.07241249,-0.10640526
Rmst,-0.04981661,4,0.3142857142857143,-0.058153152,-0.12728405,-0.009319305,-0.037246704,-0.025416374
Rnf152,-0.6090443,4,0.02857142857142857,0.06810188,-1.2444782,-0.74711037,-0.23066711,-0.21392155
Rorb,0.9425814,4,0.08571428571428572,-0.20675468,0.71801376,1.634367,0.47546864,0.9424763
Rprm,-0.04995203,2,0.6571428571428571,-0.5271597,-0.57763577,0.46212864,-0.5473337,0.46303272
Rspo1,-0.13537145,3,0.6857142857142857,-0.5823059,-0.52253723,-0.19006538,-0.008543968,0.1796608
Sdk2,-0.04641676,2,0.7714285714285715,-0.4979992,-0.66177845,0.342412,-0.016087532,0.14978695
Sema3a,0.23940003,1,0.9142857142857143,-0.59586143,-0.43070793,1.8872228,-0.0061006546,-0.49281406
Sema6a,0.104554415,3,0.4,-0.18560982,0.11938572,-0.1327753,0.41692066,0.0146865845
Sipa1l3,-0.18888712,4,0.17142857142857143,-0.1909523,-0.01981926,-0.0893383,-0.43475533,-0.21163559
Slc17a6,-0.43688464,4,0.11428571428571428,-0.24446106,-0.57901764,-0.6799965,-0.013706207,-0.47481823
Slc39a12,0.09091401,2,0.9142857142857143,-0.95394325,-0.48188114,-0.95394325,0.3054428,1.4940376
Slc44a5,0.7911277,4,0.08571428571428572,-0.07346821,1.2633333,1.0671654,0.08857441,0.7454376
Slit2,0.6678202,4,0.02857142857142857,0.044520378,0.8640766,1.1742983,0.44540787,0.1874981
Sncg,0.18240356,2,0.2857142857142857,-0.29649734,0.6323433,-0.11012173,0.20769691,-0.0003042221
Sorcs3,-0.5781238,4,0.05714285714285714,-0.2528267,-0.55810356,-0.7703285,-0.39319324,-0.5908699
Sox10,0.22654223,2,0.6,-1.017499,-0.117676735,-0.36903954,0.41431713,0.9785681
Sox11,0.0069007874,2,0.9428571428571428,-0.43704224,-0.011410713,0.026545525,-0.055027008,0.067495346
Spag16,0.6661632,4,0.2,-0.8158045,0.662426,1.487113,0.1097002,0.40541363
Strip2,-0.017885923,2,0.8571428571428571,-0.47172546,0.46673775,-0.4690218,0.46562576,-0.5348854
Syndig1,0.046406746,3,0.7714285714285715,-0.3691349,-0.08539772,0.24375248,0.0039367676,0.023335457
Syt17,0.18999147,2,0.6571428571428571,-0.9928179,0.752718,-0.14738274,-0.11167145,0.2663021
Syt2,0.1090405,2,0.5428571428571428,-0.7246523,0.41429806,-0.30485535,0.40875912,-0.08203983
Syt6,0.56717753,4,0.08571428571428572,-0.35267925,0.5243006,0.5439215,0.5568104,0.6436777
Tacr1,-1.2688062,4,0.02857142857142857,0.1547451,-2.8838987,-0.9845848,-0.5555105,-0.6512308
Th,-0.4354148,3,0.4857142857142857,-0.23862839,-1.5763388,-0.13166714,-0.20990849,0.17625523
Thsd7a,-0.26688457,3,0.14285714285714285,-0.15609741,0.15609741,-0.8014698,-0.098526,-0.32363987
Tle4,-0.04810953,3,0.7714285714285715,-0.44177818,-0.19017315,-0.029413223,-0.020557404,0.04770565
Tmem132d,-0.84545755,4,0.02857142857142857,0.2943287,-0.8625431,-0.6838007,-1.0131798,-0.82230663
Tmem163,0.096257925,3,0.42857142857142855,-0.32733727,-0.1284256,0.35486984,0.09251976,0.066067696
Tmem255a,0.23412347,4,0.02857142857142857,0.03278923,0.03278923,0.51453495,0.12899303,0.26017666
Tox,0.76505685,4,0.02857142857142857,0.19064426,0.38097477,1.2666321,0.47387886,0.9387417
Trpc4,0.2147553,4,0.17142857142857143,-0.1745224,0.39993954,0.22687435,0.12788868,0.10431862
Unc13c,-0.14397764,2,0.8,-0.59558296,-0.89237213,0.27604198,-0.16660213,0.20702171
Vat1l,0.011501312,2,0.8,-0.12424278,-0.12424278,0.13460636,-0.02904892,0.06469059
Vwc2l,0.3571682,3,0.08571428571428572,-0.11157513,0.019052505,0.85240936,-0.008423805,0.5656347
Wfs1,0.36770105,4,0.05714285714285714,-0.24053574,0.37783623,0.5365896,0.053052902,0.50332546
Zfp536,0.4696219,3,0.08571428571428572,-0.062514305,1.0447121,0.28487492,-0.062514305,0.6114149
Zfpm2,-0.062066793,1,0.7714285714285715,-0.28250694,0.10716438,-0.6831131,0.17803574,0.1496458
